nodes/id,nodes/class_name,nodes/properties/0,nodes/properties/1,nodes/properties/2,nodes/states/0,nodes/properties/3,nodes/properties/4,nodes/properties/5,nodes/states/1
11,bathroom,,,,,,,,
12,wall,,,,,,,,
13,wall,,,,,,,,
14,wall,,,,,,,,
15,wall,,,,,,,,
16,ceiling,,,,,,,,
17,ceiling,,,,,,,,
18,ceiling,,,,,,,,
19,ceiling,,,,,,,,
20,floor,SURFACES,,,,,,,
21,floor,SURFACES,,,,,,,
22,floor,SURFACES,,,,,,,
23,floor,SURFACES,,,,,,,
24,toilet,SITTABLE,CAN_OPEN,CONTAINERS,CLOSED,,,,
25,stall,,,,,,,,
26,bathroomcabinet,SURFACES,CAN_OPEN,CONTAINERS,CLOSED,,,,
27,bathroomcounter,SURFACES,,,CLOSED,,,,
28,sink,RECIPIENT,CONTAINERS,,,,,,
29,faucet,HAS_SWITCH,,,OFF,,,,
30,stall,,,,,,,,
31,curtains,CAN_OPEN,COVER_OBJECT,MOVABLE,CLOSED,,,,
32,toothbrush,GRABBABLE,RECIPIENT,MOVABLE,,,,,
33,waterglass,GRABBABLE,RECIPIENT,POURABLE,,MOVABLE,,,
34,barsoap,GRABBABLE,MOVABLE,CREAM,,,,,
35,deodorant,,,,,,,,
36,facecream,GRABBABLE,POURABLE,MOVABLE,,CREAM,,,
37,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
38,hairproduct,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,,,
39,toothpaste,GRABBABLE,POURABLE,CAN_OPEN,CLOSED,MOVABLE,CREAM,,
40,toiletpaper,GRABBABLE,HANGABLE,CUTTABLE,,COVER_OBJECT,HAS_PAPER,MOVABLE,
41,rug,SURFACES,GRABBABLE,SITTABLE,,LIEABLE,MOVABLE,,
42,wallpictureframe,GRABBABLE,HANGABLE,HAS_PAPER,,MOVABLE,,,
43,walllamp,,,,,,,,
44,ceilinglamp,,,,,,,,
45,walllamp,,,,,,,,
46,doorjamb,,,,,,,,
47,door,CAN_OPEN,,,OPEN,,,,
48,lightswitch,HAS_SWITCH,HAS_PLUG,,ON,,,,
